"cluster_kmeans","Average_Salary","Years_Experience","AI_Exposure_Index","Tech_Growth_Factor","Automation_Probability_2030","Skill_1","Skill_2","Skill_3","Skill_4","Skill_5","Skill_6","Skill_7","Skill_8","Skill_9","Skill_10"
"1",-0.119,-0.003,-0.11,-0.047,-0.253,-0.335,0.098,-0.388,-0.26,0.633,0.271,-0.092,0.249,0.505,-0.094
"2",-0.136,-0.484,-0.163,0.249,0.189,0.413,-0.263,0.402,0.204,-0.125,0.084,0.002,-0.45,-0.225,-0.347
"3",0.271,0.52,0.289,-0.217,0.065,-0.088,0.177,-0.021,0.055,-0.533,-0.375,0.095,0.218,-0.291,0.468
